frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
0;0;227.99;263.91;0.84;223.88;262.63;0.65;230.3;262.89;0.65;221.05;266.23;0.77;233.13;266.48;0.66;210.77;282.16;0.82;244.44;283.96;0.81;205.37;308.12;0.75;246.75;310.69;0.82;221.82;310.44;0.43;240.58;326.89;0.57;216.17;324.06;0.76;238.53;324.83;0.73;204.6;360.56;0.8;253.95;361.59;0.8;194.06;401.43;0.85;268.09;400.91;0.84;86.26;154.2;176.88;177.01;155.08;149.01;19.09;13.18;160.91;166.82;137.26;;;
0;1;235.5;219.4;0.87;235.91;217.96;0.68;235.09;218.38;0.68;230.78;220.63;0.64;239.4;219.61;0.5;223.81;234.59;0.81;249.46;233.36;0.78;218.68;257.78;0.79;257.25;255.31;0.79;225.86;251.21;0.64;249.25;256.54;0.55;233.25;268.04;0.76;248.64;266.19;0.73;241.66;298.2;0.45;258.9;296.97;0.78;243.1;326.93;0.57;267.93;323.44;0.81;35.09;79.19;167.28;179.6;179.82;160.13;28.23;20.98;151.77;159.02;105.79;;;
0;2;112.96;166.33;0.59;111.99;164.59;0.53;111.22;164.4;0.59;111.22;168.65;0.35;108.9;167.3;0.55;110.64;181.03;0.46;104.64;177.16;0.64;121.66;199.41;0.42;122.05;168.07;0.59;137.14;198.83;0.43;132.69;156.66;0.61;102.9;213.34;0.51;97.1;213.14;0.55;106.58;239.84;0.54;90.91;240.81;0.4;115.09;267.69;0.56;84.14;269.05;0.41;118.82;160.57;170.9;179.13;158.63;179.23;44.43;129.42;135.57;50.58;102.04;;;
0;3;77.29;226.73;0.4;74.56;224.61;0.38;86.31;224.4;0.36;74.86;227.14;0.6;85.7;224.61;0.57;74.86;240.72;0.63;93.71;236.16;0.53;77.9;257.55;0.45;97.87;250.05;0.39;78.71;271.03;0.42;89.15;258.76;0.23;96.35;273.36;0.45;106.99;270.11;0.47;93.31;286.33;0.22;108.81;286.33;0.29;120.57;286.33;0.25;120.57;286.33;0.34;173.2;118.34;76.81;96.42;133.45;165.06;23.12;4.7;156.88;175.3;59.59;;;
0;4;22.81;266.67;0.77;22.64;264.29;0.66;22.64;264.46;0.75;14.47;265.82;0.46;21.45;266.16;0.62;16.85;281.81;0.52;19.41;283.52;0.74;17.88;308.35;0.45;17.03;304.95;0.78;20.94;322.13;0.5;21.62;323.15;0.77;9.71;323.32;0.55;11.75;323.32;0.63;19.24;341.86;0.52;20.6;344.25;0.66;17.71;370.61;0.39;9.37;370.61;0.39;169.67;159.5;149.76;134.02;143.04;146.2;11.97;4.55;168.03;175.45;103.94;;;
0;5;247.25;163.97;0.71;248.81;159.8;0.71;245.69;161.11;0.66;254.28;161.37;0.51;244.38;162.93;0.37;257.92;174.91;0.71;242.56;178.81;0.73;246.73;161.11;0.7;226.15;182.98;0.65;237.35;151.47;0.74;226.15;182.2;0.56;257.92;223.09;0.67;247.51;222.82;0.65;265.48;255.12;0.74;240.74;254.6;0.6;274.07;285.07;0.73;242.04;281.94;0.53;174.84;75.75;177.26;165.24;166.73;161.55;140.95;82.16;39.05;97.84;119.53;;;
0;6;98.5;148.39;0.51;99.85;146.47;0.55;96.88;146.52;0.54;102.04;147.66;0.57;94.54;147.77;0.53;105.05;153.7;0.32;91.63;153.8;0.29;106.3;161.66;0.28;87.57;162.65;0.33;104.74;159.01;0.16;91.27;159.11;0.2;102.61;173.11;0.32;93.66;173.11;0.31;105.05;173.11;0.26;93.14;173.11;0.24;100.53;173.11;0.26;93.19;173.11;0.25;21.55;21.59;0.02;0.49;82.82;84.0;16.1;30.65;163.9;149.35;24.72;;;
1;0;228.29;263.99;0.83;223.91;262.71;0.63;230.6;262.96;0.62;221.08;266.05;0.77;233.17;266.56;0.66;211.31;282.0;0.82;244.23;283.8;0.81;205.65;307.71;0.74;246.8;309.77;0.82;221.86;328.03;0.37;240.89;326.75;0.58;216.2;324.17;0.76;238.57;324.69;0.73;204.62;360.95;0.8;254.0;361.98;0.8;194.08;401.33;0.85;267.89;400.82;0.84;129.02;155.13;177.17;177.2;155.92;149.64;19.02;13.53;160.98;166.47;137.08;528.47;10.07;
1;1;235.81;219.21;0.85;236.43;217.96;0.7;235.19;218.38;0.69;231.03;220.46;0.69;241.0;219.63;0.57;224.39;234.79;0.79;249.52;233.54;0.77;218.36;257.84;0.79;257.2;255.76;0.77;225.43;252.03;0.63;248.69;254.52;0.55;233.73;268.43;0.74;248.69;266.56;0.71;241.0;298.13;0.48;259.07;297.1;0.77;242.46;326.59;0.57;267.8;323.06;0.81;35.89;62.6;169.17;179.79;178.23;159.77;30.17;20.52;149.83;159.48;105.61;27.77;63.15;
1;2;113.36;168.08;0.41;116.1;167.53;0.33;113.55;167.17;0.39;99.48;169.36;0.35;110.63;168.99;0.48;92.18;201.51;0.48;105.88;176.66;0.55;84.87;198.22;0.46;121.95;168.63;0.49;79.57;185.61;0.51;132.18;160.04;0.57;103.5;215.39;0.34;97.66;215.02;0.35;106.42;242.06;0.39;91.26;242.97;0.28;115.19;267.27;0.53;86.51;267.81;0.34;137.02;166.56;167.08;177.94;147.05;179.21;153.43;128.66;26.57;51.34;99.46;1773.99;102.77;
