frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
0;0;226.07;339.68;0.95;228.44;336.87;0.93;224.78;336.87;0.93;235.13;339.68;0.54;286.49;339.89;0.26;244.63;354.13;0.84;222.4;355.86;0.83;249.37;374.85;0.88;220.03;374.85;0.85;242.47;392.11;0.86;217.01;392.54;0.83;241.17;391.9;0.79;228.44;392.54;0.81;238.58;421.67;0.83;230.6;421.89;0.86;240.74;451.45;0.86;232.54;450.8;0.86;145.29;177.44;170.89;179.64;179.75;174.85;18.13;16.48;161.87;163.52;111.45;;;
1;0;225.92;339.66;0.96;228.29;337.07;0.93;224.62;336.86;0.94;235.2;339.66;0.54;286.55;339.88;0.26;244.47;354.12;0.84;222.25;355.85;0.83;249.22;374.83;0.88;219.88;374.83;0.86;242.32;392.09;0.87;216.86;392.53;0.83;241.24;391.88;0.79;228.29;392.53;0.81;238.65;421.65;0.83;230.67;421.87;0.86;240.81;451.43;0.86;232.39;450.78;0.87;145.29;177.44;170.89;178.79;179.93;175.27;17.81;16.48;162.19;163.52;111.44;4.6;4.58;
2;0;225.82;339.69;0.96;228.2;336.88;0.94;224.31;336.66;0.94;234.69;339.48;0.6;225.17;339.69;0.32;243.99;353.97;0.84;221.93;355.7;0.83;248.32;375.17;0.87;219.55;374.95;0.86;242.26;393.34;0.86;216.73;392.69;0.83;241.18;392.05;0.8;228.2;392.69;0.82;238.37;422.12;0.83;230.58;422.33;0.86;240.53;451.54;0.86;232.31;450.89;0.87;150.03;178.04;170.45;178.88;178.88;174.97;15.76;16.67;164.24;163.33;111.52;37.64;6.28;
3;0;225.32;339.68;0.95;227.7;336.86;0.92;224.02;336.65;0.94;234.2;339.46;0.64;224.67;339.68;0.37;243.73;353.98;0.84;221.63;355.71;0.83;247.42;375.43;0.86;219.47;375.0;0.86;242.43;394.28;0.86;216.65;392.55;0.84;240.7;392.33;0.8;227.92;392.76;0.82;238.1;421.8;0.82;230.52;422.23;0.86;240.7;451.48;0.86;232.25;450.83;0.87;155.45;177.29;169.95;178.43;179.48;175.42;14.27;16.04;165.73;163.96;111.47;28.61;5.16;
4;0;225.03;339.75;0.94;227.2;336.94;0.92;223.73;336.94;0.94;233.91;339.54;0.65;224.81;339.75;0.37;243.45;354.49;0.84;221.34;355.79;0.83;246.7;375.72;0.86;219.18;374.86;0.86;242.58;394.79;0.86;216.58;392.41;0.84;240.63;392.84;0.8;227.85;393.28;0.82;237.81;422.1;0.82;230.45;422.53;0.85;240.63;451.35;0.87;232.4;450.7;0.87;159.11;178.06;169.0;178.88;178.7;175.24;12.9;16.32;167.1;163.68;111.27;16.13;4.62;
5;0;223.93;339.93;0.95;226.31;337.12;0.93;222.85;337.12;0.95;233.22;339.93;0.69;223.72;339.71;0.41;242.29;355.04;0.83;220.48;356.12;0.84;245.53;375.99;0.86;218.75;374.91;0.85;241.86;396.08;0.87;216.81;392.19;0.84;240.56;393.49;0.82;227.82;393.7;0.84;237.11;421.99;0.82;229.98;422.42;0.86;240.34;450.5;0.86;232.35;450.28;0.87;160.85;178.84;166.61;179.43;175.66;173.24;11.36;16.31;168.64;163.69;110.46;44.36;9.54;
6;0;223.7;340.23;0.96;226.07;337.42;0.94;222.4;337.2;0.98;232.98;340.01;0.65;223.05;339.79;0.38;242.05;355.77;0.83;220.24;356.85;0.83;245.28;377.14;0.86;218.52;375.63;0.84;241.4;396.57;0.89;217.01;392.47;0.84;240.53;394.41;0.82;228.01;394.41;0.83;237.08;422.69;0.82;229.74;422.9;0.85;240.1;450.54;0.86;232.12;450.1;0.87;160.07;179.87;166.84;178.48;175.28;171.78;10.86;16.94;169.14;163.06;110.09;20.22;10.28;
7;0;223.68;340.24;0.96;226.06;337.44;0.94;222.39;337.22;0.98;232.97;340.03;0.65;223.04;339.81;0.39;242.03;355.57;0.83;220.23;356.86;0.83;245.27;376.94;0.86;218.5;375.43;0.85;241.39;396.59;0.89;216.99;392.48;0.84;240.52;394.21;0.82;227.79;394.43;0.83;237.28;422.49;0.81;229.73;422.92;0.85;240.09;450.55;0.86;232.1;450.12;0.87;160.2;179.75;167.76;178.91;175.71;172.53;10.86;16.69;169.14;163.31;110.1;0.65;0.65;
8;0;223.27;340.66;0.97;225.65;337.85;0.95;222.19;337.63;1.0;232.78;340.23;0.61;222.62;339.8;0.33;242.08;356.44;0.84;220.03;357.52;0.83;245.11;377.63;0.86;218.3;375.9;0.86;241.0;396.87;0.9;217.22;392.98;0.85;240.78;395.14;0.84;228.24;395.14;0.85;237.11;423.25;0.83;229.54;423.25;0.86;239.92;450.27;0.86;232.14;449.84;0.88;159.82;178.24;166.61;177.07;174.47;170.32;10.05;17.7;169.95;162.3;109.39;14.44;16.44;
9;0;222.71;341.25;0.98;225.3;338.45;0.96;221.85;338.24;1.01;232.18;341.04;0.67;221.85;340.39;0.39;241.66;357.18;0.84;219.49;358.04;0.84;244.45;378.49;0.86;217.98;376.55;0.85;239.93;397.43;0.9;216.9;393.55;0.85;240.36;396.13;0.85;227.88;395.92;0.86;236.7;423.47;0.84;229.17;423.68;0.87;239.72;450.37;0.87;231.97;450.16;0.88;159.1;178.97;165.99;176.63;174.27;170.17;9.38;17.15;170.62;162.85;109.01;36.2;19.67;
