==========================================================================================
 SPIKE.AI - TABELA DE DADOS BIOMECÂNICOS 2D (SÉRIE TEMPORAL)
 NOTA TÉCNICA: Os ângulos (*_angle_2d_proj) são projeções no plano da imagem.
               Velocidades (*_apparent_velocity_px_s) são relativas à escala em pixels.
==========================================================================================

frame   person_id   nose_x   nose_y   nose_conf   left_eye_x   left_eye_y   left_eye_conf   right_eye_x   right_eye_y   right_eye_conf   left_ear_x   left_ear_y   left_ear_conf   right_ear_x   right_ear_y   right_ear_conf   left_shoulder_x   left_shoulder_y   left_shoulder_conf   right_shoulder_x   right_shoulder_y   right_shoulder_conf   left_elbow_x   left_elbow_y   left_elbow_conf   right_elbow_x   right_elbow_y   right_elbow_conf   left_wrist_x   left_wrist_y   left_wrist_conf   right_wrist_x   right_wrist_y   right_wrist_conf   left_hip_x   left_hip_y   left_hip_conf   right_hip_x   right_hip_y   right_hip_conf   left_knee_x   left_knee_y   left_knee_conf   right_knee_x   right_knee_y   right_knee_conf   left_ankle_x   left_ankle_y   left_ankle_conf   right_ankle_x   right_ankle_y   right_ankle_conf   left_elbow_angle_2d_proj   right_elbow_angle_2d_proj   left_knee_angle_2d_proj   right_knee_angle_2d_proj   left_hip_angle_2d_proj   right_hip_angle_2d_proj   left_shoulder_angle_2d_proj   right_shoulder_angle_2d_proj   left_apparent_shoulder_rotation_2d_deg   right_apparent_shoulder_rotation_2d_deg   body_height_px   left_wrist_apparent_velocity_px_s   right_wrist_apparent_velocity_px_s   detected_event       
------- ----------- -------- -------- ----------- ------------ ------------ --------------- ------------- ------------- ---------------- ------------ ------------ --------------- ------------- ------------- ---------------- ----------------- ----------------- -------------------- ------------------ ------------------ --------------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------- -------------- ----------------- --------------- --------------- ------------------ ------------ ------------ --------------- ------------- ------------- ---------------- ------------- ------------- ---------------- -------------- -------------- ----------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------------------- --------------------------- ------------------------- -------------------------- ------------------------ ------------------------- ----------------------------- ------------------------------ ---------------------------------------- ----------------------------------------- ---------------- ----------------------------------- ------------------------------------ -------------------- 
0       0           226.12   193.48   0.78        227.21       192.57       0.73            225.76        192.39        0.76             233.0        194.02       0.47            236.26        193.48        0.45             228.11            204.89            0.73                 240.61             203.26             0.75                  222.14         215.93         0.7               252.92          212.31          0.76               215.44         221.91         0.74              265.23          218.47          0.69               241.69       236.39       0.71            240.24        235.67        0.66             252.56        261.74        0.79             218.15         244.72         0.8               280.08         277.31         0.85              213.45          269.71          0.79               160.14                     170.24                      142.7                     122.96                     179.88                   112.93                    51.73                         54.31                          128.27                                   125.69                                    80.03            -                                   -                                    cocking_backswing    
0       1           146.12   174.02   0.78        147.42       172.71       0.72            145.29        172.71        0.7              150.28       173.78       0.44            144.57        173.66        0.31             151.7             181.86            0.8                  141.6              182.57             0.81                  148.14         187.2          0.79              137.56          191.6           0.85               137.56         188.27         0.79              131.03          198.85          0.81               152.3        201.82       0.73            145.29        202.65        0.75             156.22        217.38        0.8              141.96         218.33         0.84              167.62         228.31         0.82              144.93          234.49          0.8                129.46                     162.06                      147.92                    157.61                     167.57                   157.63                    35.39                         34.5                           144.61                                   145.5                                     57.39            -                                   -                                    -                    
0       2           263.67   173.27   0.82        265.19       172.19       0.86            262.8         171.97        0.85             267.91       173.6        0.91            261.39        172.95        0.78             270.09            182.41            0.83                 257.26             181.97             0.84                  275.2          191.0          0.84              253.78          190.67          0.84               278.46         198.83         0.83              257.58          197.19          0.85               266.39       202.2        0.76            257.8         201.87        0.77             270.31        215.57        0.79             255.95         214.92         0.79              272.15         229.05         0.83              252.58          227.96          0.83               171.87                     127.94                      171.49                    173.58                     153.1                    170.37                    41.33                         23.37                          138.67                                   156.63                                    55.23            -                                   -                                    -                    
1       0           226.67   192.59   0.77        227.77       191.49       0.74            226.49        191.31        0.74             233.46       192.78       0.54            236.21        192.59        0.46             228.69            204.7             0.73                 241.35             203.23             0.74                  222.45         216.81         0.61              254.19          211.86          0.75               216.58         220.11         0.68              265.93          216.63          0.71               242.08       236.07       0.71            239.33        235.34        0.65             253.27        261.39        0.78             218.24         244.69         0.8               280.97         277.53         0.82              212.55          269.28          0.78               146.61                     168.23                      144.08                    126.94                     179.27                   117.51                    50.37                         59.72                          129.63                                   120.28                                    80.81            64.06                               59.23                                -                    
1       1           147.95   173.85   0.79        149.27       172.29       0.75            147.12        172.41        0.74             152.02       173.49       0.56            146.04        173.13        0.4              153.33            181.62            0.8                  143.29             182.45             0.82                  149.99         187.35         0.8               139.35          191.66          0.85               139.11         188.55         0.8               133.01          199.19          0.8                153.81       201.94       0.74            146.52        202.53        0.76             157.64        217.35        0.8              143.53         218.31         0.84              169.23         228.47         0.82              146.4           234.33          0.81               126.53                     163.13                      147.73                    159.12                     167.42                   160.15                    31.6                          32.33                          148.4                                    147.67                                    57.55            47.2                                60.53                                -                    
1       2           265.47   173.27   0.82        267.0        172.18       0.85            264.7         171.96        0.85             269.73       173.49       0.89            263.28        173.05        0.78             272.02            182.33            0.84                 259.13             181.9              0.84                  277.16         190.85         0.83              255.86          190.64          0.85               280.54         198.5          0.75              259.68          197.19          0.86               268.31       202.32       0.76            259.79        202.11        0.77             272.24        215.43        0.79             257.71         215.0          0.81              274.43         228.65         0.84              254.22          227.89          0.83               172.81                     129.19                      172.69                    173.97                     152.78                   169.0                     41.6                          22.41                          138.4                                    157.59                                    55.0             63.41                               63.02                                -                    
2       0           228.62   192.95   0.78        229.74       191.46       0.75            228.62        190.9         0.7              234.02       194.62       0.54            236.81        193.13        0.46             229.55            204.49            0.8                  243.33             203.19             0.79                  219.12         216.97         0.71              257.11          211.2           0.82               217.07         215.85         0.76              268.66          214.18          0.76               242.4        236.53       0.74            239.79        235.22        0.69             254.69        260.92        0.82             219.12         244.35         0.84              282.25         276.75         0.84              210.37          269.49          0.84               101.28                     164.31                      146.61                    133.01                     175.12                   120.12                    61.75                         66.14                          118.25                                   113.86                                    80.17            128.91                              110.25                               -                    
2       1           151.78   174.8    0.79        152.97       173.49       0.72            150.83        173.49        0.72             155.58       173.84       0.53            149.64        173.49        0.44             156.66            181.46            0.81                 146.42             182.29             0.84                  153.56         187.76         0.83              143.09          191.93          0.87               142.85         189.43         0.8               137.14          199.66          0.8                157.01       201.92       0.76            149.64        202.64        0.79             160.94        217.15        0.81             146.9          218.46         0.85              172.48         228.69         0.82              149.28          234.4           0.83               124.97                     161.5                       149.46                    161.7                      166.54                   161.22                    27.13                         28.04                          152.87                                   151.96                                    56.75            115.78                              125.11                               -                    
2       2           269.65   173.45   0.81        271.18       172.14       0.82            268.77        172.03        0.84             274.03       173.67       0.87            267.24        173.34        0.71             276.11            182.32            0.85                 263.18             181.78             0.84                  280.93         191.42         0.75              260.12          190.65          0.82               277.64         193.28         0.62              264.06          197.44          0.82               272.17       201.39       0.75            263.84        201.28        0.76             276.0         215.19        0.79             261.65         214.97         0.82              278.74         228.67         0.81              258.03          228.01          0.81               91.61                      130.79                      175.96                    173.59                     152.79                   168.98                    39.62                         21.0                           140.38                                   159.0                                     54.89            179.65                              131.99                               -                    
3       0           228.38   193.35   0.78        229.5        191.86       0.74            228.38        191.3         0.7              233.79       194.85       0.55            237.14        193.73        0.47             229.69            204.35            0.79                 243.29             203.04             0.78                  219.07         216.83         0.69              256.89          211.06          0.81               216.83         215.71         0.75              268.82          214.22          0.76               242.36       236.4        0.74            239.94        235.28        0.68             254.66        260.99        0.82             219.07         244.41         0.83              282.23         276.65         0.84              210.49          269.38          0.83               103.82                     164.38                      146.14                    132.58                     175.01                   119.57                    61.96                         65.44                          118.04                                   114.56                                    79.66            8.43                                4.97                                 -                    
3       1           151.87   175.06   0.79        153.06       173.64       0.72            150.92        173.64        0.72             155.55       173.99       0.54            149.61        173.64        0.44             156.62            181.48            0.8                  146.4              182.2              0.85                  153.41         187.78         0.83              143.07          191.95          0.87               142.83         189.45         0.8               137.12          199.67          0.8                156.98       201.93       0.76            149.61        202.76        0.79             160.9         217.15        0.81             146.87         218.46         0.85              172.32         228.44         0.82              149.25          234.27          0.83               125.94                     161.28                      149.16                    161.56                     166.54                   161.25                    28.0                          27.72                          152.0                                    152.28                                    56.29            0.91                                0.68                                 -                    
3       2           269.68   173.49   0.81        271.21       172.17       0.82            268.8         172.06        0.84             273.95       173.71       0.89            267.26        173.27        0.72             276.14            182.47            0.85                 263.1              181.93             0.84                  280.96         191.46         0.74              260.03          190.58          0.82               277.89         193.32         0.61              264.09          197.49          0.82               272.2        201.43       0.75            263.87        201.32        0.75             275.92        215.02        0.79             261.57         214.91         0.81              278.77         228.5          0.81              258.06          227.95          0.81               93.05                      130.06                      176.6                     174.56                     152.91                   168.12                    39.97                         21.78                          140.03                                   158.22                                    54.73            7.62                                1.52                                 -                    
4       0           227.32   194.64   0.8         228.63       192.78       0.81            227.32        192.4         0.75             233.29       195.01       0.58            239.44        194.08        0.49             230.49            204.14            0.78                 244.1              202.84             0.79                  219.5          214.95         0.73              257.7           209.92          0.81               216.89         211.78         0.79              271.12          213.46          0.76               243.54       236.94       0.71            238.32        235.64        0.67             255.65        260.98        0.81             219.31         244.4          0.83              282.67         275.89         0.84              209.62          269.18          0.82               84.96                      167.28                      145.63                    136.09                     174.95                   124.73                    67.18                         72.49                          112.82                                   107.51                                    77.89            118.24                              72.84                                -                    
4       1           153.68   175.15   0.78        154.76       173.72       0.72            152.49        173.72        0.72             157.4        174.08       0.56            151.53        173.72        0.44             158.48            181.62            0.78                 148.29             182.34             0.82                  155.0          187.97         0.8               145.06          192.04          0.85               144.58         189.65         0.77              139.43          199.71          0.77               158.71       201.86       0.74            151.65        202.46        0.76             162.55        217.19        0.79             148.53         218.27         0.84              173.81         228.33         0.8               150.93          234.08          0.81               127.83                     162.14                      148.73                    160.24                     166.64                   159.39                    29.36                         27.9                           150.64                                   152.1                                     56.05            53.01                               69.43                                -                    
4       2           271.78   173.73   0.81        273.32       172.29       0.85            270.78        172.18        0.83             276.08       173.84       0.91            269.24        173.28        0.69             277.96            182.45            0.87                 265.26             181.79             0.85                  282.05         190.74         0.74              261.94          190.41          0.84               279.95         193.5          0.63              266.03          197.37          0.83               274.21       201.23       0.76            265.81        201.01        0.76             277.19        215.15        0.81             263.27         215.15         0.82              280.72         228.07         0.79              260.07          227.74          0.82               116.51                     128.54                      176.8                     175.91                     156.6                    168.17                    37.57                         22.68                          142.43                                   157.32                                    54.18            62.1                                58.63                                -                    
5       0           227.6    194.5    0.82        228.83       192.57       0.88            227.43        192.57        0.81             233.57       194.5        0.53            240.42        193.27        0.42             231.46            204.15            0.76                 244.45             202.4              0.77                  222.51         213.1          0.72              257.97          208.89          0.79               218.12         211.17         0.75              271.84          212.23          0.74               243.93       236.63       0.73            238.66        235.57        0.69             255.51        260.67        0.81             219.7          244.35         0.84              282.72         275.24         0.86              208.99          268.75          0.84               111.25                     167.86                      143.89                    138.54                     175.27                   124.75                    66.0                          74.24                          114.0                                    105.76                                    77.5             41.4                                43.02                                -                    
