frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
0;0;1492.48;585.8;0.94;1494.06;579.52;0.94;1494.58;580.04;0.89;1502.96;583.18;0.7;1517.63;585.8;0.46;1511.34;624.57;0.8;1530.2;620.38;0.75;1516.58;681.67;0.8;1519.2;675.91;0.72;1510.82;728.29;0.77;1483.58;700.0;0.78;1517.63;725.67;0.71;1532.82;723.57;0.7;1506.1;781.72;0.78;1518.15;775.96;0.75;1540.68;852.44;0.8;1549.58;839.87;0.81;167.71;135.28;142.33;138.17;164.82;162.9;1.68;12.66;178.32;167.34;260.35;;;
0;1;1143.76;571.16;0.98;1147.61;566.96;0.96;1140.95;566.96;0.99;1156.02;568.36;0.89;1136.75;569.41;0.71;1167.93;592.18;0.86;1127.99;596.04;0.87;1175.99;623.36;0.88;1121.33;624.07;0.81;1154.97;626.52;0.83;1127.64;628.27;0.78;1160.22;655.95;0.79;1140.25;656.65;0.8;1157.42;695.19;0.81;1143.41;696.24;0.84;1158.82;741.09;0.83;1151.46;737.23;0.82;84.04;110.33;174.17;173.43;177.19;173.12;21.38;24.8;158.62;155.2;168.0;;;
1;0;1491.88;584.87;0.95;1493.46;579.1;0.96;1493.98;580.15;0.91;1500.81;581.72;0.73;1517.08;583.82;0.49;1511.3;622.66;0.81;1530.2;618.99;0.75;1516.03;679.35;0.82;1520.23;675.67;0.74;1509.2;727.64;0.78;1487.16;700.34;0.79;1518.13;721.34;0.73;1530.72;718.71;0.71;1508.15;779.6;0.79;1516.03;771.72;0.75;1541.22;852.03;0.8;1546.99;834.71;0.82;167.19;136.7;145.75;138.32;166.33;164.2;0.81;10.28;179.19;169.72;258.5;52.43;108.23;
1;1;1143.56;571.01;0.98;1147.44;566.43;0.96;1140.39;566.78;0.99;1155.55;568.19;0.89;1136.52;569.25;0.71;1167.53;592.15;0.86;1128.06;596.03;0.87;1175.63;623.16;0.88;1121.01;624.22;0.81;1155.19;626.68;0.84;1127.36;628.44;0.78;1160.13;655.93;0.8;1140.04;656.28;0.81;1156.95;694.69;0.81;1143.21;695.75;0.84;1158.36;741.2;0.83;1151.32;737.33;0.82;85.14;109.65;173.59;173.56;178.06;173.35;21.27;25.28;158.73;154.72;168.26;8.37;10.05;
2;0;1491.94;581.73;0.94;1493.0;576.97;0.92;1494.05;577.5;0.85;1499.87;579.08;0.73;1516.25;580.67;0.46;1511.49;619.78;0.8;1527.87;616.08;0.74;1515.19;676.32;0.79;1522.06;671.04;0.74;1506.21;723.35;0.76;1491.94;701.69;0.79;1520.48;717.01;0.74;1531.05;713.84;0.71;1512.02;775.14;0.76;1514.66;767.74;0.73;1540.56;850.18;0.79;1544.79;833.27;0.81;165.44;141.54;150.9;138.41;166.45;161.24;1.54;7.9;178.46;172.1;260.0;157.24;149.45;
2;1;1143.48;570.73;0.98;1147.32;566.19;0.97;1140.34;566.54;1.0;1155.35;568.29;0.88;1136.5;569.33;0.7;1167.22;592.72;0.86;1127.77;596.21;0.87;1175.25;623.44;0.88;1121.14;624.14;0.81;1154.3;626.58;0.83;1127.43;628.33;0.77;1159.89;655.9;0.8;1139.64;656.6;0.81;1156.75;695.35;0.81;1143.13;696.39;0.84;1158.49;741.42;0.83;1151.16;737.58;0.82;83.88;110.33;173.28;173.98;177.94;173.89;21.27;24.48;158.73;155.52;168.78;26.92;4.14;
3;0;1488.82;570.91;0.92;1490.44;566.04;0.94;1490.98;566.04;0.81;1497.49;569.29;0.64;1500.19;569.83;0.36;1511.57;609.92;0.81;1526.2;606.12;0.76;1514.82;662.47;0.78;1535.95;658.67;0.76;1498.57;707.43;0.83;1521.86;700.39;0.6;1520.24;706.35;0.73;1529.45;704.72;0.68;1518.07;774.61;0.75;1503.99;757.81;0.78;1537.03;844.49;0.81;1539.74;828.24;0.83;156.59;150.83;163.0;127.46;173.05;152.49;1.6;8.62;178.4;171.38;265.46;531.45;901.33;
3;1;1142.64;570.56;0.98;1146.84;566.01;0.97;1139.84;566.01;1.0;1154.54;568.11;0.86;1135.64;569.16;0.68;1166.44;592.96;0.86;1126.9;596.46;0.88;1174.14;623.4;0.88;1120.25;624.45;0.81;1153.49;626.55;0.83;1127.25;628.3;0.78;1159.09;656.3;0.79;1139.14;657.0;0.8;1156.29;694.79;0.81;1142.64;696.54;0.84;1158.04;741.33;0.83;1150.69;738.18;0.83;84.48;105.45;173.69;174.12;177.54;173.62;20.81;24.8;159.19;155.2;169.2;24.47;5.45;
4;0;1488.72;570.92;0.92;1490.34;566.04;0.93;1490.89;566.04;0.81;1497.39;569.3;0.63;1500.1;569.84;0.35;1511.49;609.95;0.81;1526.12;606.16;0.76;1514.74;662.54;0.78;1535.34;658.75;0.77;1498.48;706.99;0.83;1521.79;699.95;0.6;1520.16;706.45;0.73;1529.38;704.28;0.68;1518.53;774.76;0.75;1503.9;757.95;0.78;1536.97;844.69;0.81;1539.68;828.43;0.83;156.37;151.85;163.87;127.69;173.5;152.71;1.6;8.04;178.4;171.96;265.64;13.44;13.49;
4;1;1142.68;570.58;0.98;1146.53;566.03;0.97;1139.53;566.03;1.0;1154.58;568.13;0.86;1135.68;569.18;0.68;1166.48;592.98;0.86;1126.93;596.13;0.87;1174.18;623.43;0.88;1120.28;624.13;0.81;1153.53;626.58;0.83;1126.93;628.33;0.78;1159.13;656.33;0.78;1139.18;657.03;0.8;1156.33;694.83;0.8;1142.68;696.58;0.84;1158.08;741.38;0.83;1150.73;737.88;0.82;84.48;108.92;173.69;174.03;177.54;173.68;20.81;24.73;159.19;155.27;169.06;1.38;9.57;
