frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
0;0;1439.17;348.33;0.46;1451.67;310.83;0.48;1422.5;306.67;0.48;1460.0;319.17;0.42;1401.67;298.33;0.42;1393.33;377.5;0.3;1347.5;344.17;0.28;1426.67;410.83;0.32;1360.0;410.83;0.27;1430.83;348.33;0.33;1393.33;373.33;0.28;1264.17;560.83;0.26;1180.83;560.83;0.25;1293.33;640.0;0.23;1126.67;640.0;0.21;1293.33;715.0;0.24;1089.17;723.33;0.21;48.81;52.25;159.78;169.85;124.61;176.81;80.17;48.19;99.83;131.81;370.83;;;
1;0;1443.33;340.0;0.47;1460.0;310.83;0.48;1430.83;302.5;0.48;1464.17;310.83;0.41;1401.67;294.17;0.42;1397.5;385.83;0.29;1360.0;369.17;0.28;1397.5;481.67;0.31;1318.33;460.83;0.27;1380.83;610.83;0.3;1326.67;598.33;0.27;1272.5;615.0;0.26;1201.67;606.67;0.26;1305.83;685.83;0.25;1089.17;694.17;0.23;1297.5;719.17;0.27;889.17;727.5;0.24;172.65;152.09;140.76;151.59;126.19;161.57;28.61;9.25;151.39;170.75;383.33;8016.58;7040.06;cocking_backswing
2;0;1119.43;637.4;0.99;1120.92;636.07;1.05;1118.09;636.07;1.0;1123.42;637.74;0.73;1116.26;637.74;0.54;1128.41;648.88;0.94;1111.77;648.22;0.93;1128.58;662.03;0.8;1108.61;661.36;0.95;1124.75;664.36;0.57;1106.61;673.68;0.85;1125.42;676.34;0.85;1114.6;676.17;0.89;1124.42;693.81;0.89;1115.1;693.81;0.9;1125.42;714.11;0.9;1117.93;710.28;0.87;120.6;175.69;173.91;171.88;177.04;175.84;6.95;19.3;173.05;160.7;74.79;7848.51;6977.81;
3;0;1120.42;637.25;0.94;1121.98;635.87;0.99;1119.04;635.87;0.96;1124.4;636.9;0.67;1117.49;637.07;0.48;1130.1;648.13;0.93;1113.34;647.61;0.92;1129.92;658.83;0.82;1109.37;660.39;0.94;1122.67;655.21;0.59;1105.05;670.4;0.84;1127.16;676.1;0.86;1115.76;675.76;0.89;1125.61;694.06;0.89;1115.42;693.37;0.88;1126.47;714.1;0.91;1119.04;708.57;0.87;64.36;173.95;172.59;165.45;178.96;173.97;5.07;22.17;174.93;157.83;74.09;281.55;108.73;
4;0;1121.61;638.61;0.91;1123.32;637.24;0.95;1120.25;637.41;0.92;1125.88;638.44;0.67;1118.2;638.95;0.48;1131.16;648.67;0.95;1114.11;648.16;0.95;1130.14;657.71;0.81;1109.85;660.44;0.92;1123.32;652.42;0.64;1104.56;669.82;0.85;1127.92;676.98;0.91;1117.18;676.64;0.92;1126.9;694.37;0.93;1116.33;693.35;0.89;1127.24;714.33;0.93;1119.74;707.85;0.89;58.68;169.74;175.65;163.84;176.84;170.93;0.07;25.3;179.93;154.7;72.48;85.84;23.04;
5;0;1122.71;636.39;0.85;1124.54;634.97;0.85;1121.28;635.37;0.82;1127.38;636.8;0.61;1119.45;637.2;0.48;1131.65;646.15;0.89;1115.59;646.56;0.93;1131.86;651.64;0.8;1110.91;659.17;0.89;1126.37;642.7;0.74;1103.59;667.91;0.83;1129.62;676.05;0.9;1118.03;675.24;0.89;1128.4;694.96;0.93;1116.6;692.32;0.84;1129.01;715.1;0.9;1121.28;706.35;0.89;29.41;160.42;174.57;156.8;179.8;170.37;6.01;25.22;173.99;154.78;74.33;305.73;64.08;
6;0;1123.12;635.33;0.94;1124.62;633.45;0.93;1121.81;634.01;0.9;1128.01;635.89;0.59;1119.93;636.27;0.39;1131.95;645.28;0.9;1116.17;645.84;0.93;1133.08;651.29;0.89;1111.1;658.05;0.89;1128.38;643.59;0.76;1103.96;667.07;0.85;1129.88;674.96;0.91;1118.24;674.21;0.9;1129.32;693.93;0.93;1117.49;692.24;0.87;1129.7;714.59;0.94;1121.43;706.51;0.89;20.75;164.19;177.26;162.17;177.72;173.45;14.6;26.72;165.4;153.28;75.22;66.13;27.75;
7;0;1124.1;633.35;0.87;1125.44;631.24;0.92;1122.57;632.01;0.91;1128.9;632.77;0.54;1120.84;632.97;0.41;1132.73;643.9;0.87;1117.0;644.28;0.9;1135.61;651.19;0.7;1112.02;656.94;0.88;1130.43;641.6;0.62;1104.35;665.95;0.8;1130.81;673.82;0.88;1119.5;672.86;0.91;1130.62;692.23;0.9;1118.35;690.31;0.87;1131.2;713.32;0.89;1122.57;706.61;0.88;6.83;161.1;177.84;161.72;176.93;171.24;25.21;26.49;154.79;153.51;76.62;85.76;35.4;
8;0;1125.04;631.71;0.87;1126.54;629.65;0.92;1123.54;630.22;0.91;1129.91;630.97;0.57;1122.05;631.53;0.4;1133.46;641.63;0.87;1118.3;642.19;0.88;1135.71;647.43;0.74;1113.25;655.67;0.86;1130.84;639.95;0.58;1105.76;665.21;0.81;1131.97;672.7;0.87;1120.74;671.77;0.89;1131.59;691.98;0.89;1120.18;689.36;0.86;1132.9;712.38;0.9;1123.73;708.07;0.87;11.86;162.45;175.21;167.41;178.35;173.47;23.92;25.26;156.08;154.74;78.51;50.98;47.95;
9;0;1125.0;632.17;0.85;1127.15;629.82;0.87;1123.24;630.41;0.89;1129.7;631.19;0.59;1121.48;631.39;0.5;1134.4;641.77;0.86;1118.93;642.16;0.86;1134.79;648.23;0.68;1114.23;655.27;0.83;1128.52;638.83;0.62;1107.38;665.45;0.8;1132.63;672.5;0.82;1122.06;671.72;0.85;1133.22;691.69;0.88;1121.28;689.93;0.85;1134.01;710.87;0.84;1125.0;709.9;0.86;30.22;165.76;179.42;166.99;174.97;171.49;6.75;25.76;173.25;154.24;78.21;77.29;48.98;
