==========================================================================================
 SPIKE.AI - TABELA DE DADOS BIOMECÂNICOS 2D (SÉRIE TEMPORAL)
 NOTA TÉCNICA: Os ângulos (*_angle_2d_proj) são projeções no plano da imagem.
               Velocidades (*_apparent_velocity_px_s) são relativas à escala em pixels.
==========================================================================================

frame   person_id   nose_x    nose_y   nose_conf   left_eye_x   left_eye_y   left_eye_conf   right_eye_x   right_eye_y   right_eye_conf   left_ear_x   left_ear_y   left_ear_conf   right_ear_x   right_ear_y   right_ear_conf   left_shoulder_x   left_shoulder_y   left_shoulder_conf   right_shoulder_x   right_shoulder_y   right_shoulder_conf   left_elbow_x   left_elbow_y   left_elbow_conf   right_elbow_x   right_elbow_y   right_elbow_conf   left_wrist_x   left_wrist_y   left_wrist_conf   right_wrist_x   right_wrist_y   right_wrist_conf   left_hip_x   left_hip_y   left_hip_conf   right_hip_x   right_hip_y   right_hip_conf   left_knee_x   left_knee_y   left_knee_conf   right_knee_x   right_knee_y   right_knee_conf   left_ankle_x   left_ankle_y   left_ankle_conf   right_ankle_x   right_ankle_y   right_ankle_conf   left_elbow_angle_2d_proj   right_elbow_angle_2d_proj   left_knee_angle_2d_proj   right_knee_angle_2d_proj   left_hip_angle_2d_proj   right_hip_angle_2d_proj   left_shoulder_angle_2d_proj   right_shoulder_angle_2d_proj   left_apparent_shoulder_rotation_2d_deg   right_apparent_shoulder_rotation_2d_deg   body_height_px   left_wrist_apparent_velocity_px_s   right_wrist_apparent_velocity_px_s   detected_event       
------- ----------- --------- -------- ----------- ------------ ------------ --------------- ------------- ------------- ---------------- ------------ ------------ --------------- ------------- ------------- ---------------- ----------------- ----------------- -------------------- ------------------ ------------------ --------------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------- -------------- ----------------- --------------- --------------- ------------------ ------------ ------------ --------------- ------------- ------------- ---------------- ------------- ------------- ---------------- -------------- -------------- ----------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------------------- --------------------------- ------------------------- -------------------------- ------------------------ ------------------------- ----------------------------- ------------------------------ ---------------------------------------- ----------------------------------------- ---------------- ----------------------------------- ------------------------------------ -------------------- 
0       0           843.35    677.31   0.27        872.95       677.31       0.3             872.95        671.93        0.3              867.57       674.62       0.28            851.42        671.93        0.24             851.42            647.71            0.29                 840.66             650.4              0.24                  837.97         300.58         0.22              784.15          297.89          0.19               811.06         254.83         0.18              754.55          257.52          0.17               840.66       760.73       0.23            813.75        755.35        0.2              846.04        774.19        0.18             819.13         776.88         0.14              829.9          809.17         0.22              337.45          801.1           0.24               151.75                     152.85                      133.42                    78.84                      152.76                   151.58                    172.34                        156.51                         7.66                                     23.49                                     127.82           -                                   -                                    -                    
1       0           846.04    682.69   0.29        878.33       680.0        0.32            872.95        149.88        0.33             870.26       671.93       0.29            848.73        666.55        0.24             862.19            636.95            0.33                 862.19             636.95             0.27                  846.04         728.44         0.27              805.68          295.19          0.21               821.82         725.75         0.22              797.6           725.75          0.19               859.5        771.5        0.26            827.2         768.81        0.23             848.73        671.93        0.18             827.2          784.95         0.15              851.42         790.33         0.23              808.37          779.57          0.22               93.67                      10.46                       4.87                      74.05                      7.32                     165.14                    8.86                          155.75                         171.14                                   24.25                                     102.26           14209.87                            14184.57                             -                    
2       0           851.42    682.69   0.32        881.02       680.0        0.36            875.64        671.93        0.36             872.95       666.55       0.32            854.11        661.17        0.26             864.88            631.57            0.36                 886.41             631.57             0.32                  864.88         728.44         0.31              811.06          712.3           0.24               827.2          728.44         0.27              805.68          728.44          0.24               864.88       774.19       0.29            846.04        774.19        0.26             848.73        776.88        0.2              832.59         817.24         0.16              859.5          776.88         0.25              819.13          771.5           0.23               90.0                       155.41                      9.46                      33.74                      99.46                    178.45                    0.0                           27.22                          180.0                                    152.78                                    91.49            181.52                              256.71                               -                    
3       0           851.42    682.69   0.33        881.02       677.31       0.37            872.95        671.93        0.37             872.95       666.55       0.32            854.11        661.17        0.27             864.88            634.26            0.36                 883.72             631.57             0.32                  867.57         728.44         0.31              811.06          712.3           0.24               829.9          725.75         0.27              808.37          728.44          0.24               867.57       776.88       0.29            846.04        774.19        0.27             848.73        776.88        0.2              829.9          819.93         0.16              859.5          776.88         0.25              819.13          771.5           0.23               84.28                      147.48                      0.01                      31.97                      88.92                    175.36                    0.56                          27.19                          179.44                                   152.81                                    91.49            114.8                               81.18                                -                    
4       0           846.04    677.31   0.29        872.95       677.31       0.33            872.95        671.93        0.33             867.57       669.24       0.3             851.42        663.86        0.25             862.19            639.64            0.31                 854.11             639.64             0.27                  846.04         720.37         0.26              786.84          698.84          0.2                813.75         720.37         0.22              784.15          720.37          0.2                854.11       766.11       0.26            824.51        763.42        0.24             846.04        774.19        0.18             816.44         782.26         0.15              827.2          793.02         0.24              340.14          779.57          0.25               101.31                     138.47                      180.0                     112.87                     138.65                   170.25                    7.66                          35.2                           172.34                                   144.8                                     108.98           513.41                              770.12                               -                    
5       0           848.73    680.0    0.31        875.64       677.31       0.35            872.95        671.93        0.35             870.26       666.55       0.31            854.11        661.17        0.26             862.19            636.95            0.33                 864.88             634.26             0.28                  864.88         720.37         0.27              786.84          698.84          0.21               819.13         723.06         0.24              786.84          723.06          0.21               859.5        771.5        0.27            829.9         768.81        0.25             848.73        776.88        0.19             821.82         787.64         0.15              342.83         801.1          0.24              340.14          782.26          0.26               91.52                      129.61                      156.18                    112.56                     117.71                   171.38                    2.99                          35.82                          177.01                                   144.18                                    111.68           181.52                              114.8                                -                    
6       0           846.04    680.0    0.27        875.64       680.0        0.3             878.33        157.95        0.3              867.57       666.55       0.28            854.11        661.17        0.22             856.81            634.26            0.31                 859.5              634.26             0.26                  840.66         723.06         0.25              781.46          292.5           0.2                811.06         723.06         0.21              781.46          249.45          0.19               856.81       766.11       0.25            829.9         763.42        0.23             846.04        774.19        0.18             816.44         784.95         0.15              342.83         806.48         0.24              340.14          787.64          0.26               100.3                      167.14                      146.8                     122.33                     126.87                   160.9                     10.3                          154.23                         169.7                                    25.77                                     117.06           243.53                              14288.26                             -                    
7       0           784.15    680.0    0.26        878.33       677.31       0.29            878.33        155.26        0.3              867.57       663.86       0.27            854.11        658.48        0.22             854.11            636.95            0.29                 848.73             636.95             0.25                  835.28         295.19         0.24              754.55          292.5           0.21               805.68         254.83         0.2               754.55          254.83          0.2                851.42       760.73       0.24            824.51        758.04        0.21             843.35        739.2         0.18             816.44         774.19         0.15              345.52         809.17         0.25              342.83          801.1           0.27               146.9                      164.71                      102.56                    119.82                     21.8                     164.74                    175.6                         153.4                          4.4                                      26.6                                      125.13           14125.91                            827.86                               -                    
8       0           846.04    680.0    0.27        878.33       677.31       0.31            875.64        671.93        0.31             872.95       666.55       0.28            856.81        658.48        0.23             856.81            639.64            0.29                 846.04             639.64             0.25                  843.35         295.19         0.23              781.46          295.19          0.2                811.06         723.06         0.2               759.93          260.21          0.19               854.11       763.42       0.24            824.51        760.73        0.22             843.35        739.2         0.18             816.44         774.19         0.15              345.52         811.86         0.25              342.83          803.79          0.27               6.55                       159.01                      105.66                    124.54                     25.21                    159.12                    176.52                        159.3                          3.48                                     20.7                                      127.82           14125.91                            229.61                               -                    
